script,avg_energy_uj,avg_runtime_s,LOC,CC_total,CC_avg,CC_max,halstead_volume,maintainability_index,code_smells,avg_energy_uj_pct_change,avg_runtime_s_pct_change,LOC_pct_change,CC_total_pct_change,CC_avg_pct_change,CC_max_pct_change,halstead_volume_pct_change,maintainability_index_pct_change,code_smells_pct_change
gpt_multi_fenwick_tree.py,2438519.2,0.2311997875920496,41,8,2.0,3,353.6,45.9,4,-0.12,-0.8,28.12,14.29,14.29,50.0,32.57,-6.78,33.33
gpt_stagedcg_fenwick_tree.py,2438067.4,0.2334444571752101,47,10,1.67,3,516.19,43.18,4,-0.14,0.16,46.88,42.86,-4.57,50.0,93.53,-12.31,33.33
gpt_stagedgc_fenwick_tree.py,2443268.0,0.2330727170105092,39,8,2.0,3,351.25,46.39,3,0.07,0.0,21.88,14.29,14.29,50.0,31.69,-5.79,0.0
llama_clean_fenwick_tree.py,2459246.6,0.2337806480005383,38,10,1.43,2,268.84,47.18,2,0.72,0.31,18.75,42.86,-18.29,0.0,0.79,-4.18,-33.33
llama_green_fenwick_tree.py,2426800.4,0.2327974429936148,36,11,1.83,2,266.72,47.58,3,-0.6,-0.11,12.5,57.14,4.57,0.0,0.0,-3.37,0.0
llama_multi_fenwick_tree.py,2383270.2,0.2325599954230711,34,8,1.6,2,241.08,48.84,2,-2.39,-0.22,6.25,14.29,-8.57,0.0,-9.61,-0.81,-33.33
llama_stagedcg_fenwick_tree.py,,,0,8,1.6,2,0.0,0.0,0,,,-100.0,14.29,-8.57,0.0,-100.0,-100.0,-100.0
llama_stagedgc_fenwick_tree.py,2446234.2,0.2316136909998022,36,11,1.83,2,266.72,47.58,2,0.19,-0.62,12.5,57.14,4.57,0.0,0.0,-3.37,-33.33
qwen_clean_fenwick_tree.py,2458367.8,0.2330877319909632,32,7,1.75,2,266.72,49.24,3,0.69,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_green_fenwick_tree.py,2429400.4,0.2319079335895367,42,7,1.75,2,472.3,44.92,5,-0.5,-0.49,31.25,0.0,0.0,0.0,77.08,-8.77,66.67
qwen_multi_fenwick_tree.py,2411529.2,0.2330015541869215,32,7,1.75,2,266.72,49.24,3,-1.23,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_stagedcg_fenwick_tree.py,2408551.4,0.2329446938121691,34,7,1.75,2,266.72,48.66,4,-1.35,-0.05,6.25,0.0,0.0,0.0,0.0,-1.18,33.33
qwen_stagedgc_fenwick_tree.py,2440240.4,0.2328267862088978,42,7,1.75,2,472.3,44.92,5,-0.05,-0.1,31.25,0.0,0.0,0.0,77.08,-8.77,66.67
,,,,,,,,,,,,,,,,,,
job_scheduling.py,2472540.4,0.2344549803994596,41,9,3.0,4,213.62,47.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_clean_job_scheduling.py,2524895.8,0.2345717771968338,43,9,2.25,4,232.99,46.58,0,2.12,0.05,4.88,0.0,-25.0,0.0,9.07,-1.52,
deepseek_green_job_scheduling.py,2522100.6,0.2359387265983969,44,9,3.0,5,245.34,46.21,0,2.0,0.63,7.32,0.0,0.0,25.0,14.85,-2.3,
deepseek_multi_job_scheduling.py,2490362.4,0.2394461553951259,42,10,3.33,5,320.51,45.7,0,0.72,2.13,2.44,11.11,11.0,25.0,50.04,-3.38,
deepseek_stagedcg_job_scheduling.py,2522491.0,0.2355701330001466,47,10,2.5,5,255.16,45.33,0,2.02,0.48,14.63,11.11,-16.67,25.0,19.45,-4.16,
deepseek_stagedgc_job_scheduling.py,2522283.4,0.2364855743944645,45,10,2.5,4,245.34,45.86,0,2.01,0.87,9.76,11.11,-16.67,0.0,14.85,-3.04,
gpt_clean_job_scheduling.py,2502960.0,0.2347897834028117,43,8,2.67,4,213.75,46.98,0,1.23,0.14,4.88,-11.11,-11.0,0.0,0.06,-0.68,
gpt_green_job_scheduling.py,2496356.0,0.2426580147934146,45,10,3.33,6,233.18,46.01,0,0.96,3.5,9.76,11.11,11.0,50.0,9.16,-2.73,
gpt_multi_job_scheduling.py,2490227.8,0.2366089148097671,44,9,3.0,5,204.04,46.77,0,0.72,0.92,7.32,0.0,0.0,25.0,-4.48,-1.12,
gpt_stagedcg_job_scheduling.py,2514971.2,0.2342564614024013,49,10,3.33,6,218.61,45.4,0,1.72,-0.08,19.51,11.11,11.0,50.0,2.34,-4.02,
gpt_stagedgc_job_scheduling.py,2543560.2,0.2410763313993811,48,10,3.33,5,250.25,45.19,0,2.87,2.82,17.07,11.11,11.0,25.0,17.15,-4.46,
llama_clean_job_scheduling.py,2489129.6,0.2329060322022997,32,7,2.33,3,136.16,51.28,0,0.67,-0.66,-21.95,-22.22,-22.33,-25.0,-36.26,8.41,
llama_green_job_scheduling.py,2491546.4,0.2364196421927772,40,9,3.0,5,285.0,46.65,0,0.77,0.84,-2.44,0.0,0.0,25.0,33.41,-1.37,
llama_multi_job_scheduling.py,2491546.4,0.2386871549999341,39,9,3.0,5,285.0,46.89,0,0.77,1.81,-4.88,0.0,0.0,25.0,33.41,-0.87,
llama_stagedcg_job_scheduling.py,2528545.8,0.234718864003662,38,9,3.0,5,285.0,47.14,0,2.27,0.11,-7.32,0.0,0.0,25.0,33.41,-0.34,
llama_stagedgc_job_scheduling.py,2540240.2,0.2350348505889997,41,10,2.5,5,285.0,46.28,0,2.74,0.25,0.0,11.11,-16.67,25.0,33.41,-2.16,
qwen_clean_job_scheduling.py,2498382.8,0.2361338538001291,41,8,2.67,4,213.75,47.43,0,1.05,0.72,0.0,-11.11,-11.0,0.0,0.06,0.27,
qwen_green_job_scheduling.py,2534210.2,0.235637961816974,42,8,2.67,4,216.33,47.16,0,2.49,0.5,2.44,-11.11,-11.0,0.0,1.27,-0.3,
qwen_multi_job_scheduling.py,2544268.0,0.2328816754044965,41,8,2.67,4,213.75,47.43,0,2.9,-0.67,0.0,-11.11,-11.0,0.0,0.06,0.27,
qwen_stagedcg_job_scheduling.py,2486468.0,0.2408330450067296,42,8,2.67,4,211.52,47.23,0,0.56,2.72,2.44,-11.11,-11.0,0.0,-0.98,-0.15,
qwen_stagedgc_job_scheduling.py,2526104.0,0.2391734216012992,42,8,2.67,4,216.33,47.16,0,2.17,2.01,2.44,-11.11,-11.0,0.0,1.27,-0.3,
,,,,,,,,,,,,,,,,,,
kd_tree.py,4812414.4,0.4724295637977775,60,13,2.17,5,223.85,43.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_clean_kd_tree.py,,,65,14,2.33,6,258.5,41.68,0,,,8.33,7.69,7.37,20.0,15.48,-3.09,
deepseek_green_kd_tree.py,4766772.6,0.4722354377969168,67,13,2.17,5,239.11,41.76,0,-0.95,-0.04,11.67,0.0,0.0,0.0,6.82,-2.91,
deepseek_multi_kd_tree.py,,,0,14,2.33,6,0.0,0.0,0,,,-100.0,7.69,7.37,20.0,-100.0,-100.0,
deepseek_stagedcg_kd_tree.py,,,71,15,2.5,7,293.88,40.32,0,,,18.33,15.38,15.21,40.0,31.28,-6.25,
deepseek_stagedgc_kd_tree.py,4888830.2,0.4715488255955279,89,22,2.0,4,388.82,36.38,1,1.59,-0.19,48.33,69.23,-7.83,-20.0,73.7,-15.42,
gpt_clean_kd_tree.py,2644463.2,0.2475214928039349,67,14,2.0,4,223.85,41.83,0,-45.05,-47.61,11.67,7.69,-7.83,-20.0,0.0,-2.74,
gpt_green_kd_tree.py,4770861.6,0.4727610543952323,77,14,2.33,5,256.46,40.1,0,-0.86,0.07,28.33,7.69,7.37,0.0,14.57,-6.77,
